name,price,detail_link,image_link,tags
"Benriach Cask Edition 1998 24 years old #5944 53,9%","€429,95",https://slijterijdehelm.nl/winkel/whisky/zeer-exclusieve-bottelingen/benriach-cask-edition-1998-24-years-old-5944-539/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Benriach-Cask-Edition-1998-600x600.png,"Malt, Whisky, Zeer exclusieve bottelingen"
Balvenie The Creation of a Classic,"€99,95",https://slijterijdehelm.nl/winkel/whisky/malt/balvenie-the-creation-of-a-classic/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Balvenie-The-Creation-of-a-Classic-43-600x600.jpg,"Malt, Whisky"
"Signatory Vintage Cask Strength Carsebridge 1982 35 years old #74604 48,9%","€359,95",https://slijterijdehelm.nl/winkel/whisky/zeer-exclusieve-bottelingen/signatory-vintage-cask-strength-carsebridge-1982-35-years-old-74604-489/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Signatory-Vintage-Cask-Strength-Carsebridge-1982-35-years-old-76404-489-600x600.png,"Malt, Whisky, Zeer exclusieve bottelingen"
Compass Box Ultramarine,"€369,95",https://slijterijdehelm.nl/winkel/whisky/zeer-exclusieve-bottelingen/compass-box-ultramarine/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Compass-Box-Ultramarine-51-600x600.png,"Blended, Whisky, Zeer exclusieve bottelingen"
Dewar’s 15 years old,"€48,95",https://slijterijdehelm.nl/winkel/whisky/blended/dewars-15-years-old/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Dewar8217s-15-years-old-40-600x600.png,"Blended, Whisky"
Dewar’s 18 years old,"€88,95",https://slijterijdehelm.nl/winkel/whisky/blended/dewars-18-years-old/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Dewar8217s-18-years-old-40-600x600.png,"Blended, Whisky"
Blood Oath Pact 9,"€249,95",https://slijterijdehelm.nl/winkel/whisky/zeer-exclusieve-bottelingen/blood-oath-pact-9/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Blood-Oath-Pact-9-600x600.png,"Malt, Whisky, Zeer exclusieve bottelingen"
"Berry Bros & Rudd Balmenach 2011 12 years old #120 54,8%","€96,95",https://slijterijdehelm.nl/winkel/whisky/malt/berry-bros-rudd-balmenach-2011-12-years-old-120-548/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Berry-Bros-amp-Rudd-Balmenach-2011-12-years-old-120-548-600x600.png,"Malt, Whisky"
Cadenhead Knockdhu 10 years old 2013 46%,"€64,95",https://slijterijdehelm.nl/winkel/whisky/malt/cadenhead-knockdhu-10-years-old-2013-46/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Cadenhead-Knockdhu-2013-10-years-old-46-600x600.png,"Malt, Whisky"
Roe & Co Cask Strength,"€59,95",https://slijterijdehelm.nl/winkel/whisky/malt/roe-co-cask-strength/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Roe-038-Co-Cask-Strength-600x600.png,"Malt, Whisky"
Loch Lomond Exclusive Cask 10 Years Old Pellegrino Marsala 22/428-2 50%,"€64,95",https://slijterijdehelm.nl/winkel/whisky/malt/loch-lomond-exclusive-cask-10-years-old-pellegrino-marsala-22-428-2-50/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Loch-Lomond-Exclusive-Pellegrino-Marsala-600x600.png,"Malt, Whisky"
Hart Brothers Allt-a-Bhainne 2013 9 years old 46%,"€58,95",https://slijterijdehelm.nl/winkel/whisky/malt/hart-brothers-allt-a-bhainne-2013-9-years-old-46/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Hart-Brothers-Allt-a-Bhainne-2013-9-years-old-46-600x600.png,"Malt, Whisky"
Jack Daniels Gentleman Jack 1 ltr,"€43,95",https://slijterijdehelm.nl/winkel/whisky/blended/jack-daniels-gentleman-jack-1-ltr/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Jack-Daniels-Gentleman-Jack-1-ltr-600x600.png,"Blended, Whisky"
Glen Elgin 12 years old,"€46,95",https://slijterijdehelm.nl/winkel/whisky/malt/glen-elgin-12-years-old/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/GLEN-ELGIN-12-YEARS-600x600.jpg,"Malt, Whisky"
Glenlivet 15 years old,"€63,95",https://slijterijdehelm.nl/winkel/whisky/malt/glenlivet-15-years-old/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Glenlivet-15-600x600.png,Malt
